instance_name,rub_2,opt_2,nodes_2,time_2,rub_4,opt_4,nodes_4,time_4,rub_6,opt_6,nodes_6,time_6
p6.2.d,0.00,0.00,1,0.14,168.00,168.00,1,0.23,180.00,180.00,1,0.35
p6.2.e,96.00,96.00,1,0.28,228.00,228.00,1,1.18,348.00,348.00,1,4.58
p6.2.f,192.00,192.00,1,0.67,288.00,288.00,1,3.11,504.00,504.00,1,53.91
p6.2.g,288.00,288.00,1,1.40,348.00,348.00,1,11.54,516.00,516.00,1,123.04
p6.2.h,348.00,348.00,1,1.48,420.00,420.00,1,16.54,588.00,588.00,1,190.88
p6.2.i,408.00,408.00,1,2.54,480.00,480.00,1,23.23,660.00,660.00,1,903.48
p6.2.j,480.00,480.00,1,3.91,540.00,540.00,1,49.76,--,744.00,1,3600.00
p6.2.k,552.00,552.00,1,8.98,612.00,612.00,1,42.52,852.00,840.00,5,3600.00
p6.2.l,606.00,606.00,1,15.78,660.00,660.00,1,140.96,948.00,936.00,3,3600.00
p6.2.m,660.00,660.00,1,28.34,720.00,714.00,7,3600.00,1003.44,984.00,3,3600.00
p6.2.n,726.00,726.00,1,16.80,787.20,774.00,3,3600.00,1063.63,1032.00,3,3600.00
p6.3.g,0.00,0.00,1,0.15,240.00,240.00,1,0.25,262.00,258.00,5,1.05
p6.3.h,72.00,72.00,1,0.22,324.00,318.00,5,2.52,432.00,420.00,9311,3600.00
p6.3.i,156.00,156.00,1,0.45,378.00,378.00,1,2.23,606.00,600.00,9,43.52
p6.3.j,282.00,282.00,1,0.75,432.00,432.00,1,3.79,696.00,690.00,19,442.52
p6.3.k,384.00,384.00,1,1.15,486.00,486.00,1,8.33,722.00,720.00,5,573.46
p6.3.l,450.00,450.00,1,1.36,558.00,558.00,1,23.80,776.00,768.00,7,746.36
p6.3.m,510.00,510.00,1,2.13,612.00,612.00,1,42.64,876.00,858.00,91,3600.00
p6.3.n,564.00,564.00,1,2.29,678.00,678.00,1,22.61,942.00,918.00,13,3600.00
p6.4.j,0.00,0.00,1,0.14,312.00,312.00,3,0.43,336.00,336.00,1,0.57
p6.4.k,0.00,0.00,1,0.14,384.00,384.00,1,0.65,511.50,498.00,6462,3600.00
p6.4.l,168.00,168.00,1,0.29,444.00,444.00,1,1.68,678.00,648.00,2173,3600.00
p6.4.m,240.00,240.00,1,0.44,528.00,528.00,1,2.82,804.00,780.00,39,463.02
p6.4.n,372.00,372.00,1,0.79,576.00,576.00,1,5.68,870.00,864.00,21,605.08
