instance_name,rub_2,opt_2,nodes_2,time_2,rub_4,opt_4,nodes_4,time_4,rub_6,opt_6,nodes_6,time_6
p3.2.a,0.00,0.00,1,0.13,60.00,60.00,1,0.15,70.00,70.00,1,0.16
p3.2.b,60.00,60.00,1,0.15,100.00,100.00,1,0.17,110.00,110.00,1,0.18
p3.2.c,120.00,120.00,1,0.17,140.00,140.00,1,0.22,170.00,170.00,1,0.32
p3.2.d,140.00,140.00,1,0.20,172.31,170.00,11,1.54,200.00,200.00,1,0.48
p3.2.e,180.00,180.00,1,0.23,210.00,210.00,1,0.51,240.00,240.00,1,1.17
p3.2.f,210.00,200.00,29,1.55,250.00,250.00,1,1.04,270.00,270.00,1,4.78
p3.2.g,250.00,250.00,1,0.51,305.00,300.00,9,24.97,338.67,330.00,9,222.61
p3.2.h,290.00,290.00,1,0.56,347.50,340.00,17,48.72,377.50,370.00,7,95.44
p3.2.i,330.00,320.00,9,3.67,400.00,390.00,7,105.15,425.56,420.00,7,317.50
p3.2.j,380.00,380.00,1,1.58,446.67,430.00,51,642.51,481.67,480.00,5,1150.59
p3.2.k,412.50,400.00,61,38.44,493.33,490.00,5,267.78,521.25,510.00,11,3600.00
p3.2.l,455.00,440.00,15,22.57,535.00,520.00,23,1418.50,570.00,550.00,7,3600.00
p3.2.m,486.67,480.00,3,28.60,565.00,550.00,21,3600.00,600.00,600.00,1,214.79
p3.2.n,530.00,530.00,1,7.12,590.00,580.00,19,1963.75,625.00,620.00,3,3600.00
p3.2.o,550.00,550.00,1,112.08,622.50,610.00,17,3600.00,657.78,640.00,3,3600.00
p3.2.p,570.00,570.00,1,24.45,650.00,640.00,21,3600.00,690.00,670.00,5,3600.00
p3.2.q,600.00,600.00,1,94.89,680.00,670.00,9,3600.00,720.00,700.00,5,3600.00
p3.2.r,624.00,620.00,7,2527.55,707.14,700.00,3,3600.00,747.50,730.00,3,3600.00
p3.2.s,660.00,660.00,1,2760.56,738.33,730.00,3,3600.00,775.04,760.00,3,3600.00
p3.2.t,675.00,670.00,3,3600.00,761.25,750.00,3,3600.00,792.22,780.00,3,3600.00
p3.3.b,0.00,0.00,1,0.14,10.00,10.00,1,0.15,10.00,10.00,1,0.14
p3.3.c,10.00,10.00,1,0.15,80.00,80.00,1,0.16,90.00,90.00,1,0.18
p3.3.d,70.00,70.00,1,0.15,110.00,110.00,1,0.17,120.00,120.00,1,0.18
p3.3.e,140.00,140.00,1,0.17,160.00,160.00,1,0.21,190.00,190.00,1,0.27
p3.3.f,150.00,150.00,1,0.17,173.33,170.00,7,0.58,206.67,200.00,9,1.40
p3.3.g,170.00,170.00,1,0.19,212.00,210.00,3,0.72,240.00,240.00,1,0.53
p3.3.h,205.00,200.00,13,0.61,252.50,250.00,7,1.75,280.00,280.00,1,0.77
p3.3.i,230.00,230.00,1,0.23,290.00,290.00,1,0.95,320.00,320.00,1,2.03
p3.3.j,270.00,270.00,1,0.35,335.00,330.00,3,3.14,355.00,350.00,15,54.57
p3.3.k,300.00,300.00,1,0.41,390.00,380.00,41,20.95,410.00,410.00,1,11.37
p3.3.l,340.00,340.00,9,1.78,430.00,430.00,1,5.49,447.50,440.00,9,193.54
p3.3.m,380.00,380.00,1,0.65,465.00,460.00,19,79.81,490.80,490.00,3,154.73
p3.3.n,420.00,410.00,9,4.47,503.33,490.00,43,211.93,526.94,510.00,47,2742.33
p3.3.o,456.00,450.00,7,3.95,543.00,530.00,37,268.56,571.43,560.00,17,840.92
p3.3.p,500.00,500.00,1,1.27,585.37,560.00,682,3600.00,615.47,610.00,11,1408.70
p3.3.q,528.33,520.00,33,30.17,625.88,620.00,19,1124.98,654.73,640.00,41,3600.00
p3.3.r,553.26,540.00,83,191.60,653.71,640.00,87,3600.00,686.64,670.00,11,3600.00
p3.3.s,595.00,580.00,271,238.14,685.17,680.00,11,2079.71,713.82,710.00,5,3600.00
p3.3.t,621.67,610.00,171,454.72,704.75,700.00,7,1639.46,737.62,720.00,15,3600.00
p3.4.c,0.00,0.00,1,0.14,10.00,10.00,1,0.15,10.00,10.00,1,0.15
p3.4.d,0.00,0.00,1,0.14,60.00,60.00,1,0.15,80.00,80.00,1,0.15
p3.4.e,60.00,60.00,1,0.15,80.00,80.00,1,0.41,100.00,100.00,1,0.21
p3.4.f,80.00,80.00,1,0.15,120.00,120.00,1,0.18,130.00,130.00,1,0.18
p3.4.g,120.00,120.00,1,0.16,170.00,170.00,1,0.20,200.00,200.00,1,0.25
p3.4.h,170.00,170.00,1,0.18,180.00,180.00,1,0.23,210.00,210.00,1,0.28
p3.4.i,170.00,170.00,1,0.18,220.00,220.00,1,0.24,240.00,240.00,1,0.36
