instance_name,rub_2,opt_2,nodes_2,time_2,rub_4,opt_4,nodes_4,time_4,rub_6,opt_6,nodes_6,time_6
p5.2.c,0.00,0.00,1,0.15,20.00,20.00,1,0.17,20.00,20.00,1,0.17
p5.2.d,60.00,60.00,1,0.17,70.00,70.00,1,0.19,80.00,80.00,1,0.26
p5.2.e,60.00,60.00,1,0.20,100.00,100.00,1,0.28,120.00,120.00,1,0.71
p5.2.f,160.00,160.00,1,0.26,170.00,170.00,1,0.70,190.00,190.00,1,2.38
p5.2.g,270.00,270.00,1,0.49,300.00,300.00,1,2.34,320.00,320.00,1,13.49
p5.2.h,300.00,300.00,1,0.76,330.00,330.00,1,6.56,340.00,340.00,1,32.68
p5.2.i,360.00,360.00,1,0.89,370.00,370.00,1,7.85,400.00,400.00,1,912.14
p5.2.j,400.00,400.00,1,1.33,510.00,510.00,1,12.88,520.00,520.00,1,118.49
p5.2.k,480.00,480.00,1,1.61,580.00,580.00,1,21.98,590.00,590.00,1,541.70
p5.2.l,550.00,550.00,1,3.65,650.00,650.00,1,36.13,690.00,690.00,1,250.01
p5.2.m,640.00,640.00,1,4.07,720.00,720.00,1,57.65,770.00,770.00,1,359.16
p5.2.n,720.00,720.00,1,6.94,790.00,790.00,1,83.28,840.00,840.00,1,598.49
p5.2.o,810.00,810.00,1,9.79,930.00,930.00,1,148.93,930.00,930.00,1,799.88
p5.2.p,880.00,880.00,1,13.27,1000.00,1000.00,1,153.45,1010.00,1010.00,1,1090.72
p5.2.q,1000.00,1000.00,1,18.40,1036.67,1035.00,7,954.03,1090.00,1090.00,1,1389.22
p5.2.r,1050.00,1050.00,1,27.41,1120.00,1120.00,1,902.37,1160.00,1160.00,1,1915.54
p5.2.s,1140.00,1140.00,1,36.39,1170.00,1170.00,1,1454.47,1220.00,1215.00,3,3600.00
p5.2.t,1170.00,1170.00,1,169.88,1240.00,1230.00,3,3600.00,1243.64,1230.00,3,3600.00
p5.2.u,1240.00,1240.00,1,135.85,1290.00,1270.00,3,3600.00,1303.19,1295.00,3,3600.00
p5.2.v,1340.00,1340.00,1,94.54,1359.89,1315.00,3,3600.00,1331.52,1310.00,3,3600.00
p5.2.w,--,1340.00,1,3600.00,1410.00,1380.00,3,3600.00,1352.46,1300.00,3,3600.00
p5.2.x,--,1420.00,1,3600.00,1470.91,1435.00,3,3600.00,1418.02,1355.00,3,3600.00
p5.2.y,1500.00,1500.00,1,1346.57,1517.55,1475.00,3,3600.00,1371.87,1300.00,3,3600.00
p5.2.z,--,1500.00,1,3600.00,1567.20,1520.00,3,3600.00,1402.45,1250.00,3,3600.00
p5.3.d,0.00,0.00,1,0.14,0.00,0.00,1,0.14,20.00,20.00,1,0.15
p5.3.e,0.00,0.00,1,0.14,60.00,60.00,1,0.17,60.00,60.00,1,0.18
p5.3.f,75.00,75.00,1,0.18,100.00,100.00,1,0.21,110.00,110.00,1,0.24
p5.3.g,90.00,90.00,1,0.18,135.00,135.00,1,0.55,150.00,150.00,1,0.46
p5.3.h,135.00,135.00,1,0.21,220.00,220.00,1,0.36,260.00,260.00,1,1.22
p5.3.i,240.00,240.00,1,0.29,255.00,255.00,1,0.66,285.00,285.00,1,3.04
p5.3.j,240.00,240.00,1,0.72,300.00,300.00,1,2.06,380.00,380.00,1,9.43
p5.3.k,420.00,420.00,1,0.56,460.00,460.00,1,3.57,470.00,470.00,1,24.55
p5.3.l,450.00,450.00,1,0.95,495.00,495.00,1,9.14,510.00,510.00,1,40.75
